Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4,HSN Code
3pcs set,3pcs-set,"“Elegant cream suit paired with a rich, traditional multicolor dupatta—perfect blend of ethnic charm and modern grace.”",SUBHAMASTHU SHOPPING MALL,,3 PCS SET,,TRUE,Active,S3748251,,Size,M,,,,,,,,2500,3570,,TRUE,,,,,,shopify,2,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1764442023048-gemini_generated_image_cbqbyxcbqbyxcbqb-27.jpg,1,3pcs set,https://only2u-media.b-cdn.net/productsimages/1764442023048-gemini_generated_image_cbqbyxcbqbyxcbqb-27.jpg,FALSE,3pcs set,"“Elegant cream suit paired with a rich, traditional multicolor dupatta—perfect blend of ethnic charm and modern grace.”",,,,,,,,new,FALSE,,,,,,54072040
,3pcs-set,,,,,,,,S3748252,,Size,L,,,,,,,,2500,3570,,TRUE,,,,,,shopify,3,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1764442023048-gemini_generated_image_cbqbyxcbqbyxcbqb-27.jpg,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
,3pcs-set,,,,,,,,S3748253,,Size,XL,,,,,,,,2500,3570,,TRUE,,,,,,shopify,2,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1764664460614-gemini_generated_image_cbqbyxcbqbyxcbqb-26.jpg,2,3pcs set,https://only2u-media.b-cdn.net/productsimages/1764664460614-gemini_generated_image_cbqbyxcbqbyxcbqb-26.jpg,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
,3pcs-set,,,,,,,,S3748255,,Size,3XL,,,,,,,,2500,3570,,TRUE,,,,,,shopify,2,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1764664460614-gemini_generated_image_cbqbyxcbqbyxcbqb-26.jpg,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
,3pcs-set,,,,,,,,S3748254,,Size,2XL,,,,,,,,2500,3570,,TRUE,,,,,,shopify,2,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1764664460614-gemini_generated_image_cbqbyxcbqbyxcbqb-26.jpg,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
PLAZO SETS,plazo-sets,"A stylish mustard kurta set adorned with bold floral prints, offering a fresh, modern, and effortlessly elegant look.",jyothi studio,,Plazo sets,,TRUE,Active,S3762180,,Size,L,,,,,,,,750,1070,,TRUE,,,,,,shopify,4,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1764437046217-gemini_generated_image_cbqbyxcbqbyxcbqb-33.jpg,1,PLAZO SETS,https://only2u-media.b-cdn.net/productsimages/1764437046217-gemini_generated_image_cbqbyxcbqbyxcbqb-33.jpg,FALSE,PLAZO SETS,"A stylish mustard kurta set adorned with bold floral prints, offering a fresh, modern, and effortlessly elegant look.",,,,,,,,new,FALSE,,,,,,54072040
,plazo-sets,,,,,,,,S3762182,,Size,2XL,,,,,,,,750,1070,,TRUE,,,,,,shopify,3,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1764437664215-gemini_generated_image_cbqbyxcbqbyxcbqb-32.jpg,2,PLAZO SETS,https://only2u-media.b-cdn.net/productsimages/1764437664215-gemini_generated_image_cbqbyxcbqbyxcbqb-32.jpg,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
,plazo-sets,,,,,,,,S3762179,,Size,M,,,,,,,,750,1070,,TRUE,,,,,,shopify,2,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1764437046217-gemini_generated_image_cbqbyxcbqbyxcbqb-33.jpg,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
,plazo-sets,,,,,,,,S3762181,,Size,XL,,,,,,,,750,1070,,TRUE,,,,,,shopify,3,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1764437664215-gemini_generated_image_cbqbyxcbqbyxcbqb-32.jpg,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
3pcs set,3pcs-set,"A stunning raspberry-pink suit adorned with delicate pearl work and paired with a floral organza dupatta. Bright, elegant, and perfect for festive occasions and daytime celebrations.",SUBHAMASTHU SHOPPING MALL,,3 PCS SET,,TRUE,Active,S3738501,,Size,XL,,,,,,,,1050,1500,,TRUE,,,,,,shopify,2,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1764333749811-whatsapp-image-2025-11-28-at-3.50.45-pm-24.jpg,1,3pcs set,https://only2u-media.b-cdn.net/productsimages/1764333749811-whatsapp-image-2025-11-28-at-3.50.45-pm-24.jpg,FALSE,3pcs set,"A stunning raspberry-pink suit adorned with delicate pearl work and paired with a floral organza dupatta. Bright, elegant, and perfect for festive occasions and daytime celebrations.",,,,,,,,new,FALSE,,,,,,62019100
